WARN  - 2017-12-18 22:53:07.745; org.apache.solr.schema.FieldTypePluginLoader; TokenFilterFactory is using deprecated 3.6.0 emulation. You should at some point declare and reindex to at least 4.0, because 3.x emulation is deprecated and will be removed in 5.0
WARN  - 2017-12-18 22:53:07.746; org.apache.solr.schema.FieldTypePluginLoader; TokenFilterFactory is using deprecated 3.6.0 emulation. You should at some point declare and reindex to at least 4.0, because 3.x emulation is deprecated and will be removed in 5.0
WARN  - 2017-12-18 22:53:07.749; org.apache.solr.schema.FieldTypePluginLoader; TokenizerFactory is using deprecated 3.6.0 emulation. You should at some point declare and reindex to at least 4.0, because 3.x emulation is deprecated and will be removed in 5.0
WARN  - 2017-12-18 22:53:07.751; org.apache.solr.schema.FieldTypePluginLoader; TokenFilterFactory is using deprecated 3.6.0 emulation. You should at some point declare and reindex to at least 4.0, because 3.x emulation is deprecated and will be removed in 5.0
WARN  - 2017-12-18 22:53:07.752; org.apache.solr.schema.FieldTypePluginLoader; TokenFilterFactory is using deprecated 3.6.0 emulation. You should at some point declare and reindex to at least 4.0, because 3.x emulation is deprecated and will be removed in 5.0
WARN  - 2017-12-18 22:53:07.753; org.apache.solr.schema.FieldTypePluginLoader; TokenFilterFactory is using deprecated 3.6.0 emulation. You should at some point declare and reindex to at least 4.0, because 3.x emulation is deprecated and will be removed in 5.0
INFO  - 2017-12-18 22:53:07.760; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2017-12-18 22:53:07.760; org.apache.solr.schema.IndexSchema; query parser default operator is AND
INFO  - 2017-12-18 22:53:07.761; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2017-12-18 22:53:07.792; org.apache.solr.core.CoreContainer; Creating SolrCore 'blog' using configuration from instancedir D:\pythonspace\mysite\solr-4.10.4\example\solr\blog\
INFO  - 2017-12-18 22:53:07.808; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2017-12-18 22:53:07.811; org.apache.solr.core.SolrCore; [blog] Opening new SolrCore at D:\pythonspace\mysite\solr-4.10.4\example\solr\blog\, dataDir=D:\pythonspace\mysite\solr-4.10.4\example\solr\blog\data\
INFO  - 2017-12-18 22:53:07.812; org.apache.solr.core.SolrCore; JMX monitoring not detected for core: blog
INFO  - 2017-12-18 22:53:07.825; org.apache.solr.core.CachingDirectoryFactory; return new directory for D:\pythonspace\mysite\solr-4.10.4\example\solr\blog\data
INFO  - 2017-12-18 22:53:07.830; org.apache.solr.core.SolrCore; New index directory detected: old=null new=D:\pythonspace\mysite\solr-4.10.4\example\solr\blog\data\index/
INFO  - 2017-12-18 22:53:07.831; org.apache.solr.core.CachingDirectoryFactory; return new directory for D:\pythonspace\mysite\solr-4.10.4\example\solr\blog\data\index
INFO  - 2017-12-18 22:53:07.919; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2017-12-18 22:53:07.928; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-12-18 22:53:07.929; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-12-18 22:53:07.929; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-12-18 22:53:07.930; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-12-18 22:53:07.934; org.apache.solr.core.RequestHandlers; created /select: solr.StandardRequestHandler
WARN  - 2017-12-18 22:53:07.936; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-12-18 22:53:07.936; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2017-12-18 22:53:07.938; org.apache.solr.core.RequestHandlers; created /admin: solr.admin.AdminHandlers
INFO  - 2017-12-18 22:53:07.940; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2017-12-18 22:53:07.955; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-12-18 22:53:07.957; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-12-18 22:53:07.959; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-12-18 22:53:07.960; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-12-18 22:53:07.961; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-12-18 22:53:07.966; org.apache.solr.update.CommitTracker; Hard AutoCommit: disabled
INFO  - 2017-12-18 22:53:07.966; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2017-12-18 22:53:08.015; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@D:\pythonspace\mysite\solr-4.10.4\example\solr\blog\data\index lockFactory=NativeFSLockFactory@D:\pythonspace\mysite\solr-4.10.4\example\solr\blog\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_5,generation=5}
INFO  - 2017-12-18 22:53:08.016; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 5
INFO  - 2017-12-18 22:53:08.075; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@11151794[blog] main
INFO  - 2017-12-18 22:53:08.080; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: D:\pythonspace\mysite\solr-4.10.4\example\solr\blog\conf
